SL. NO.,ADDRESS,COUNTRY,STATE,CITY,TIMEZONE,ping_delay_time,last_router_delay,traceroute_steps,traceroute_time,total_delay,minimum_rtt,maximum_rtt,average_rtt,time_to_live,latitude,longitude
342,117.194.254.191,India,Assam,Guwahati,Asia/Calcutta,70.491,9.161,6.0,25.759,44.947,40.25,50.024,44.378,77.0,26.1571,91.7659
343,117.221.228.135,India,Karnataka,Udupi,Asia/Calcutta,66.852,6.471,6.0,24.424,36.565,31.889,43.666,37.91,68.0,13.3558,74.7544
344,59.90.8.10,India,Telangana,Hyderabad,Asia/Calcutta,64.587,5.401,6.0,22.979,39.204,33.733,50.472,41.271,93.0,18.999,87.7165
345,117.233.102.49,India,Maharashtra,Pune,Asia/Calcutta,64.916,8.291,7.0,25.834,37.422,30.101,50.844,40.275,77.0,18.539,73.7337
346,117.220.163.86,India,National Capital Territory of Delhi,Delhi,Asia/Calcutta,70.194,9.289,6.0,27.759,40.567,36.48,47.128,41.871,85.0,28.684,77.2761
347,117.194.254.141,India,Assam,Guwahati,Asia/Calcutta,66.922,8.351,6.0,26.056,37.586,33.717,48.629,42.718,52.0,26.065,91.7464
348,117.222.161.250,India,Kerala,Kozhikode,Asia/Calcutta,69.683,9.643,7.0,29.846,44.911,38.316,56.654,46.153,100.0,11.3904,75.9201
349,117.208.83.200,India,Haryana,Fatehabad,Asia/Calcutta,64.853,10.16,6.0,27.015,36.029,30.89,50.481,42.072,101.0,29.5089,75.4491
350,117.224.68.148,India,Himachal Pradesh,Rewari,Asia/Calcutta,66.551,7.644,6.0,22.571,40.099,34.945,48.111,42.834,73.0,28.1941,76.5978
351,117.207.177.247,India,Rajasthan,Alwar,Asia/Calcutta,68.679,8.451,6.0,25.356,37.831,32.161,52.184,40.57,100.0,27.5386,76.6077
352,117.209.200.88,India,Nagaland,Dimapur,Asia/Calcutta,69.309,9.904,6.0,26.302,43.583,39.58,58.145,47.344,125.0,25.8829,93.6719
353,117.249.249.217,India,Tamil Nadu,Ariyalur,Asia/Calcutta,72.137,9.072,6.0,25.075,42.365,35.029,54.166,46.475,53.0,11.2167,79.04
354,117.217.99.195,India,Maharashtra,Pune,Asia/Calcutta,66.478,5.48,6.0,24.032,41.01,33.133,50.23,40.55,65.0,18.8839,73.6402
355,117.247.180.94,India,Andhra Pradesh,Vijayawada,Asia/Calcutta,67.561,7.734,7.0,24.629,39.079,34.667,49.061,42.073,62.0,16.4881,80.6629
356,59.99.215.68,India,Kerala,Alappuzha,Asia/Calcutta,69.307,10.435,7.0,28.526,41.437,37.066,48.912,44.784,87.0,9.4951,76.349
357,117.247.113.12,India,Karnataka,Sringeri,Asia/Calcutta,69.215,8.468,6.0,25.56,43.511,36.162,58.13,45.707,72.0,13.4167,75.2333
358,117.198.222.242,India,Gujarat,Vadodara,Asia/Calcutta,68.34,9.97,6.0,22.529,40.983,36.986,50.863,45.737,67.0,22.3075,73.1812
359,117.248.37.24,India,Maharashtra,Pune,Asia/Calcutta,69.631,5.445,6.0,26.218,37.693,32.046,52.657,41.209,75.0,18.4875,74.1081
360,61.0.248.31,India,Tamil Nadu,Karur,Asia/Calcutta,65.216,8.911,6.0,25.382,36.901,30.984,45.961,37.829,78.0,10.948,78.1089
361,117.207.136.155,India,Rajasthan,Alwar,Asia/Calcutta,69.743,10.145,6.0,27.831,42.344,37.658,57.033,48.239,63.0,27.5535,76.6681
362,218.248.42.113,India,Karnataka,Bengaluru,Asia/Calcutta,70.127,6.116,6.0,23.688,40.641,37.531,54.291,46.077,80.0,12.763,77.6174
363,59.95.174.14,India,Tamil Nadu,Chennai,Asia/Calcutta,67.411,7.95,7.0,25.083,41.032,37.961,46.866,40.998,83.0,13.2337,80.1351
364,117.222.119.134,India,Karnataka,Harihar,Asia/Calcutta,68.097,8.151,7.0,20.883,40.886,37.014,48.821,41.696,59.0,13.9822,75.9333
365,117.237.232.132,India,Bihar,Patna,Asia/Calcutta,65.831,9.789,7.0,25.557,35.861,31.534,41.009,37.462,78.0,25.5853,85.1279
366,59.88.251.178,India,Kerala,Kannur,Asia/Calcutta,70.433,6.115,6.0,24.924,39.75,33.413,51.052,41.664,58.0,11.8791,75.3724
367,117.234.125.161,India,Uttar Pradesh,Lucknow,Asia/Calcutta,67.417,5.369,6.0,26.469,42.53,35.502,49.72,42.167,120.0,26.9577,80.8139
368,117.248.182.182,India,Madhya Pradesh,Narsimhapur,Asia/Calcutta,67.018,6.877,6.0,27.058,41.045,34.146,49.499,40.166,97.0,22.9445,79.1939
369,117.232.122.230,India,Karnataka,Bengaluru,Asia/Calcutta,69.275,10.04,7.0,26.371,41.239,37.586,49.049,44.508,124.0,12.7084,77.314
370,117.247.81.46,India,Karnataka,Ahmedabad,Asia/Calcutta,69.911,9.57,6.0,28.831,44.817,37.242,51.29,42.663,95.0,22.9411,72.6571
371,117.217.99.244,India,Maharashtra,Pune,Asia/Calcutta,67.803,6.114,7.0,24.575,36.555,29.953,47.305,39.499,99.0,18.5383,73.6128
372,59.97.56.100,India,Tamil Nadu,Chennai,Asia/Calcutta,68.591,10.143,6.0,24.904,38.59,33.324,47.17,40.573,79.0,12.9957,80.1158
373,117.211.58.158,India,Kerala,Kollam,Asia/Calcutta,68.727,9.914,7.0,28.342,39.181,34.408,51.881,41.934,110.0,8.8351,76.6078
374,61.1.5.101,India,Rajasthan,Banswara,Asia/Calcutta,66.978,9.147,6.0,25.378,36.103,29.462,43.76,36.914,70.0,23.5481,74.4439
375,117.217.99.185,India,Maharashtra,Pune,Asia/Calcutta,88.901,133.318,5.0,39.844,90.781,85.973,102.153,93.487,70.0,18.1598,73.4749
376,117.226.170.107,India,West Bengal,Kolkata,Asia/Calcutta,60.281,2.672,7.0,19.324,31.207,28.002,38.089,34.085,73.0,22.7291,88.2878
377,117.246.64.32,India,Telangana,Hyderabad,Asia/Calcutta,65.18,2.698,6.0,19.324,32.018,27.207,37.55,30.749,80.0,34.9028,90.7453
378,117.217.99.143,India,Maharashtra,Pune,Asia/Calcutta,62.402,3.008,7.0,18.891,30.74,27.156,37.848,31.555,88.0,18.8982,74.0652
379,59.94.158.235,India,Kerala,Alangad,Asia/Calcutta,72.892,14.382,6.0,30.338,44.553,39.855,58.98,50.906,127.0,10.015,76.279
380,117.199.142.46,India,Tamil Nadu,Madurai,Asia/Calcutta,81.164,22.736,5.0,38.049,56.104,51.419,69.809,61.571,117.0,9.9046,78.0946
381,117.254.152.203,India,Karnataka,Mysore,Asia/Calcutta,86.019,22.834,7.0,43.304,56.902,50.866,69.667,59.224,123.0,12.2327,76.584
382,117.237.234.135,India,Odisha,Patna,Asia/Calcutta,86.938,22.662,10.0,61.611,66.84,61.432,81.014,72.706,103.0,25.6153,85.1769
383,117.193.180.85,India,Tamil Nadu,Sattur,Asia/Calcutta,84.233,24.722,10.0,55.158,64.513,59.831,70.009,64.046,119.0,9.4167,77.7667
384,117.226.193.198,India,West Bengal,Kolkata,Asia/Calcutta,67.763,8.301,6.0,24.016,39.446,34.609,52.177,44.217,70.0,22.5419,88.4943
385,117.207.221.187,India,Madhya Pradesh,Indore,Asia/Calcutta,71.802,8.928,6.0,25.347,42.868,39.213,48.031,42.421,76.0,22.7014,75.8658
386,117.206.192.178,India,Himachal Pradesh,Chamba,Asia/Calcutta,65.894,3.495,6.0,19.401,37.807,32.576,51.41,41.198,57.0,32.5531,76.1333
387,61.0.248.195,India,Tamil Nadu,Karur,Asia/Calcutta,60.254,2.844,6.0,18.691,33.962,29.26,48.079,38.816,80.0,10.9016,78.126
388,117.217.99.49,India,Maharashtra,Pune,Asia/Calcutta,68.705,6.823,6.0,24.082,40.786,35.216,46.885,40.326,55.0,18.6055,73.5446
389,117.248.22.104,India,Kerala,Kannur,Asia/Calcutta,62.351,2.916,6.0,18.762,37.341,29.42,50.757,40.224,120.0,11.8704,75.3323
390,117.248.43.37,India,Tamil Nadu,Villupuram,Asia/Calcutta,68.085,8.678,7.0,24.65,35.945,32.387,45.784,37.143,110.0,11.9333,79.4333
391,61.0.248.172,India,Uttarakhand,Nainital,Asia/Calcutta,65.536,6.179,7.0,22.403,41.063,35.356,52.684,42.936,124.0,29.331,79.4731
392,117.247.205.61,India,Tamil Nadu,Chennai,Asia/Calcutta,68.003,7.224,6.0,20.67,36.177,29.44,46.009,38.86,95.0,13.1811,80.0843
393,117.197.64.18,India,West Bengal,Kolkata,Asia/Calcutta,66.599,9.648,7.0,25.847,37.313,30.368,47.033,39.276,63.0,22.4937,88.3128
394,117.237.238.237,India,Odisha,Balasore,Asia/Calcutta,73.115,10.982,6.0,28.007,46.716,42.045,53.368,48.275,87.0,21.5043,86.9145
395,117.200.31.194,India,Andhra Pradesh,Rajahmundry,Asia/Calcutta,68.444,9.033,6.0,27.867,39.719,34.616,51.108,41.946,100.0,16.9891,81.7556
396,117.241.211.242,India,Tamil Nadu,Chennai,Asia/Calcutta,80.362,102.577,6.0,33.792,75.837,71.132,82.234,77.66,70.0,12.9874,80.2147
397,210.212.178.226,India,Maharashtra,Nashik,Asia/Calcutta,127.148,26.195,10.0,133.677,104.447,97.33,113.227,105.716,112.0,19.9809,73.7851
398,61.3.250.78,India,Tamil Nadu,Chennai,Asia/Calcutta,86.381,38.684,9.0,62.171,65.043,61.934,76.907,70.105,105.0,13.3296,80.0797
399,117.222.104.142,India,Karnataka,Karwar,Asia/Calcutta,66.297,8.186,7.0,23.311,41.379,34.905,51.137,41.62,122.0,14.8,74.1167
400,117.211.58.48,India,Kerala,Kollam,Asia/Calcutta,68.614,8.759,7.0,23.184,39.862,33.18,51.681,43.441,109.0,8.9278,76.5308
401,117.225.26.156,India,Uttar Pradesh,Delhi,Asia/Calcutta,66.04,5.8,6.0,22.092,33.583,29.56,47.488,37.274,68.0,28.5518,77.1208
402,117.221.77.216,India,Andhra Pradesh,Visakhapatnam,Asia/Calcutta,125.818,21.53,5.0,42.437,71.625,68.561,80.659,74.9,72.0,17.6835,83.2748
403,117.204.243.165,India,Maharashtra,Hinganghat,Asia/Calcutta,68.601,8.385,7.0,24.873,41.707,37.841,52.768,44.879,85.0,20.5167,78.6333
404,117.205.245.87,India,West Bengal,Kolkata,Asia/Calcutta,111.206,21.668,9.0,56.12,70.011,63.609,78.802,72.214,107.0,22.7758,88.3743
405,117.220.21.51,India,Himachal Pradesh,Solan,Asia/Calcutta,72.268,15.144,6.0,32.032,46.522,42.114,52.262,45.203,78.0,30.909,77.1
406,117.210.195.236,India,Punjab,Sunam,Asia/Calcutta,61.717,2.302,6.0,18.162,29.669,25.38,35.39,28.542,105.0,29.9833,75.9833
407,117.205.87.70,India,Karnataka,Bengaluru,Asia/Calcutta,61.206,3.562,7.0,20.203,36.744,31.966,41.93,35.336,110.0,13.0608,77.9058
408,117.194.136.45,India,West Bengal,Kolkata,Asia/Calcutta,64.474,5.83,6.0,26.361,37.743,33.023,49.957,41.04,101.0,22.4614,88.4347
409,117.230.61.218,India,Kerala,Palakkad,Asia/Calcutta,69.24,5.786,6.0,27.47,41.663,36.9,46.817,41.245,120.0,10.799,76.6974
410,59.98.21.125,India,Jharkhand,Jamshedpur,Asia/Calcutta,62.267,2.912,6.0,18.773,37.236,33.931,47.971,42.165,127.0,22.7175,86.188
411,59.98.17.17,India,Jharkhand,Jamshedpur,Asia/Calcutta,69.721,8.802,6.0,25.171,42.741,35.032,55.304,44.834,87.0,22.6857,86.0828
412,59.98.225.79,India,Kerala,Kochi,Asia/Calcutta,69.591,7.404,6.0,25.145,40.721,37.237,50.496,42.083,96.0,9.8058,76.5863
413,117.201.6.226,India,Tamil Nadu,Marthandam,Asia/Calcutta,62.383,2.9,7.0,19.524,36.527,30.454,46.176,37.965,110.0,8.1,77.3167
414,117.203.13.249,India,Rajasthan,Jaipur,Asia/Calcutta,62.397,2.966,6.0,19.659,31.781,27.599,37.567,30.963,59.0,26.8533,75.6867
415,117.217.71.132,India,Maharashtra,Mumbai,Asia/Calcutta,66.581,7.326,7.0,20.953,41.079,33.314,50.385,42.24,70.0,18.9461,72.8633
416,117.216.66.107,India,Kerala,Kannur,Asia/Calcutta,89.289,80.678,6.0,111.259,101.068,98.014,108.515,102.02,115.0,11.8915,75.3879
417,117.248.192.9,India,Goa,Ponda,Asia/Calcutta,68.112,7.443,7.0,24.452,35.727,31.937,42.01,38.452,83.0,15.3833,73.9833
418,59.98.20.36,India,Jharkhand,Jamshedpur,Asia/Calcutta,69.216,9.82,6.0,27.055,40.841,35.731,50.999,44.621,96.0,22.6418,86.2858
419,117.227.96.90,India,West Bengal,Kolkata,Asia/Calcutta,69.017,7.992,6.0,24.461,38.114,34.16,46.285,39.361,87.0,22.5363,88.5614
420,59.98.228.166,India,Kerala,Kochi,Asia/Calcutta,68.526,7.795,6.0,25.409,38.723,32.004,45.099,37.598,65.0,9.6248,76.1428
421,61.1.9.103,India,Kerala,Palakkad,Asia/Calcutta,67.537,11.24,6.0,28.402,39.552,34.967,48.31,41.963,125.0,10.8562,76.7071
422,117.221.86.10,India,Andhra Pradesh,Vijayawada,Asia/Calcutta,78.244,13.387,6.0,46.684,55.707,51.078,69.071,60.533,80.0,16.5369,80.6273
423,117.194.82.205,India,Odisha,Mumbai,Asia/Calcutta,69.882,8.935,6.0,23.286,39.564,34.692,45.235,41.649,62.0,19.2317,72.9731
424,117.224.164.221,India,Haryana,Kurukshetra,Asia/Calcutta,70.26,8.915,6.0,24.897,42.946,39.129,54.606,45.97,88.0,29.9683,76.855
425,117.207.104.52,India,Andhra Pradesh,Srikalahasti,Asia/Calcutta,67.177,8.476,6.0,25.226,42.674,35.445,52.443,45.084,78.0,13.65,79.6833
426,61.0.26.209,India,Rajasthan,Jaipur,Asia/Calcutta,64.759,7.406,7.0,20.851,37.147,32.961,46.722,41.044,55.0,26.7893,75.5751
427,61.2.156.113,India,Maharashtra,Nashik,Asia/Calcutta,65.566,7.437,6.0,24.082,36.569,29.209,44.977,38.587,105.0,20.0151,73.7813
428,59.97.123.21,India,Tamil Nadu,Kozhikode,Asia/Calcutta,66.844,10.165,7.0,25.42,42.079,36.856,55.775,48.184,96.0,11.2754,75.6595
429,117.225.112.173,India,Punjab,Tanda,Asia/Calcutta,66.264,7.94,7.0,22.817,41.292,37.61,47.614,42.355,60.0,31.6928,75.7109
430,117.251.210.161,India,West Bengal,Ranaghat,Asia/Calcutta,61.928,2.472,6.0,19.127,31.306,25.222,38.413,32.992,61.0,23.02,88.54
431,117.214.74.9,India,Jharkhand,Howrah,Asia/Calcutta,62.164,2.752,6.0,19.331,36.24,29.373,47.493,39.089,120.0,22.6134,88.2774
432,59.95.158.111,India,Maharashtra,Pune,Asia/Calcutta,68.444,9.152,6.0,27.861,39.451,34.038,44.703,39.978,111.0,18.3698,74.1444
433,117.196.193.232,India,Union Territory of Puducherry,Puducherry,Asia/Calcutta,81.587,76.319,7.0,51.694,79.489,76.228,93.195,84.568,66.0,11.9126,79.8454
434,59.91.201.73,India,Punjab,Hoshiarpur,Asia/Calcutta,70.848,9.427,6.0,25.411,37.773,30.11,46.208,38.38,69.0,31.5528,75.9349
435,117.242.219.65,India,Kerala,Thiruvananthapuram,Asia/Calcutta,112.762,68.363,9.0,40.937,80.005,74.826,91.225,82.674,79.0,8.4629,76.953
436,117.200.31.29,India,Andhra Pradesh,Rajahmundry,Asia/Calcutta,72.168,17.726,6.0,40.355,51.022,47.267,58.444,53.597,60.0,16.9978,81.8011
437,59.97.148.254,India,Odisha,Balasore,Asia/Calcutta,67.525,8.155,7.0,25.931,39.13,32.099,53.281,42.346,72.0,21.5325,86.9089
438,117.246.208.156,India,Tamil Nadu,Coimbatore,Asia/Calcutta,79.898,16.722,8.0,32.903,47.668,43.213,56.118,50.631,92.0,11.0554,76.9482
439,117.248.149.207,India,Jharkhand,Jamshedpur,Asia/Calcutta,68.198,8.018,6.0,24.875,42.884,35.303,56.92,46.82,62.0,22.656,86.1706
440,117.221.38.82,India,Telangana,Hyderabad,Asia/Calcutta,82.452,14.102,7.0,122.654,82.986,76.216,89.894,82.082,97.0,14.6815,92.9475
441,117.220.243.136,India,National Capital Territory of Delhi,New Delhi,Asia/Calcutta,135.106,72.766,10.0,70.973,97.333,93.744,111.296,101.991,110.0,28.5227,77.1399
442,117.247.177.90,India,Andhra Pradesh,Vijayawada,Asia/Calcutta,79.259,99.594,4.0,52.693,80.566,73.925,86.531,79.923,111.0,16.514,80.7447
443,59.97.145.13,India,Maharashtra,Balasore,Asia/Calcutta,61.94,2.559,6.0,19.188,32.105,26.364,39.44,33.283,84.0,21.5346,86.9433
444,61.2.18.172,India,Andhra Pradesh,Lucknow,Asia/Calcutta,61.633,2.218,7.0,17.986,34.915,27.233,44.595,37.529,111.0,26.7005,81.1186
445,61.3.69.218,India,Himachal Pradesh,Mandi,Asia/Calcutta,60.443,3.003,7.0,19.396,33.795,30.632,48.403,41.148,56.0,32.0,76.9167
446,117.205.82.83,India,Rajasthan,Ajmer,Asia/Calcutta,88.943,27.74,4.0,55.493,62.538,56.168,69.623,62.921,69.0,26.4423,74.6564
447,117.220.220.124,India,National Capital Territory of Delhi,New Delhi,Asia/Calcutta,98.081,49.86,6.0,58.707,73.22,69.325,85.097,76.145,55.0,28.5562,77.1724
448,117.248.149.29,India,Nagaland,Dimapur,Asia/Calcutta,62.293,2.918,7.0,19.396,38.041,30.969,46.0,37.495,69.0,25.8353,93.7146
449,117.194.75.169,India,West Bengal,Kolkata,Asia/Calcutta,69.939,9.632,6.0,27.324,41.05,36.786,50.192,42.303,118.0,22.3839,88.176
450,59.94.203.75,India,Kerala,Kozhikode,Asia/Calcutta,68.963,9.308,7.0,26.581,44.895,39.983,59.892,50.306,55.0,11.5509,75.9855
451,59.96.84.239,India,Maharashtra,Pune,Asia/Calcutta,64.7,7.898,7.0,24.721,36.823,30.847,46.081,37.395,78.0,19.0103,73.8855
452,117.222.169.74,India,Kerala,Kozhikode,Asia/Calcutta,67.758,7.538,7.0,21.251,37.823,31.712,48.189,41.868,106.0,11.217,75.5333
453,117.237.241.88,India,Odisha,Bhubaneswar,Asia/Calcutta,67.065,9.46,6.0,22.869,41.61,38.398,51.795,45.26,67.0,20.3466,85.8285
454,117.212.19.106,India,Rajasthan,Sojat,Asia/Calcutta,72.908,10.977,6.0,28.948,41.766,36.463,50.989,42.628,108.0,25.8,73.7
455,117.213.78.232,India,Kerala,Kannur,Asia/Calcutta,69.115,9.031,7.0,27.638,41.029,36.386,51.159,42.278,81.0,11.8729,75.4285
456,59.94.148.80,India,Tamil Nadu,Tirunelveli,Asia/Calcutta,71.728,9.498,6.0,26.295,41.526,34.257,49.618,42.966,70.0,8.7666,77.7132
457,117.234.241.247,India,Uttar Pradesh,Noida,Asia/Calcutta,63.397,7.242,7.0,24.053,35.184,28.774,45.74,37.054,62.0,28.5345,77.4031
458,117.200.83.64,India,Jharkhand,Ranchi,Asia/Calcutta,72.201,12.108,6.0,28.916,46.815,39.092,59.152,47.733,53.0,23.3418,85.309
459,117.230.158.79,India,Kerala,Kochi,Asia/Calcutta,69.071,9.57,7.0,25.702,43.219,39.756,51.057,46.868,78.0,9.878,76.5562
460,59.95.235.34,India,Madhya Pradesh,Sagar,Asia/Calcutta,72.004,11.795,6.0,28.493,46.635,42.567,60.055,51.008,128.0,23.835,78.735
461,117.234.6.42,India,National Capital Territory of Delhi,Delhi,Asia/Calcutta,64.183,6.44,7.0,24.363,40.984,35.721,49.532,41.469,100.0,28.7179,77.0903
462,117.212.92.151,India,Rajasthan,Jaipur,Asia/Calcutta,67.975,9.358,7.0,26.544,44.437,37.103,52.837,44.935,97.0,26.7287,75.9291
463,117.194.212.231,India,Assam,Guwahati,Asia/Calcutta,69.987,11.185,6.0,27.84,39.493,32.609,52.121,44.062,97.0,26.128,91.8205
464,117.248.166.188,India,Maharashtra,Panchgani,Asia/Calcutta,68.787,7.05,6.0,25.317,40.065,32.354,46.284,38.541,87.0,17.9222,73.7847
465,117.205.162.42,India,Jharkhand,Kharagpur,Asia/Calcutta,67.351,4.87,6.0,22.438,37.389,30.166,51.952,41.807,96.0,22.35,87.3
466,117.224.52.208,India,Chandigarh,Chandigarh,Asia/Calcutta,69.219,9.684,7.0,25.091,42.66,36.636,49.964,42.322,67.0,30.7333,76.7794
467,117.205.11.234,India,Maharashtra,Bhilwara,Asia/Calcutta,66.217,8.502,6.0,20.652,37.514,31.024,51.719,42.466,85.0,29.9337,90.9055
468,117.237.221.82,India,Bihar,Patna,Asia/Calcutta,64.188,5.905,6.0,21.73,35.742,29.019,41.731,33.422,95.0,25.5475,85.1784
469,117.226.244.158,India,West Bengal,Kolkata,Asia/Calcutta,69.834,8.431,6.0,27.144,40.781,35.86,49.024,43.66,60.0,22.3851,88.6742
470,117.208.204.109,India,Andhra Pradesh,Kurnool,Asia/Calcutta,70.13,10.106,6.0,28.064,38.816,32.351,50.4,40.843,68.0,15.8333,78.05
471,117.194.132.70,India,Tamil Nadu,Tirunelveli,Asia/Calcutta,70.019,10.778,7.0,25.425,40.908,37.124,48.291,43.166,84.0,8.6962,77.775
472,59.95.211.235,India,National Capital Territory of Delhi,Delhi,Asia/Calcutta,68.742,9.093,6.0,25.796,38.793,34.962,47.117,41.973,116.0,28.6973,77.1927
473,117.241.172.83,India,Punjab,Jalandhar,Asia/Calcutta,65.919,4.092,6.0,20.621,32.484,27.433,40.778,34.351,93.0,31.3317,75.5657
474,117.241.249.122,India,Rajasthan,Jaipur,Asia/Calcutta,73.129,10.271,6.0,26.718,45.747,42.413,56.56,51.245,59.0,27.0267,75.9641
475,117.234.2.170,India,Uttar Pradesh,Lucknow,Asia/Calcutta,68.068,8.12,6.0,24.461,36.284,30.515,45.787,39.477,50.0,26.856,81.1009
476,117.223.126.34,India,Gujarat,Rajkot,Asia/Calcutta,69.636,10.546,6.0,27.329,43.794,36.542,49.477,43.837,122.0,22.3066,70.8096
477,59.98.7.39,India,Jharkhand,Jamshedpur,Asia/Calcutta,67.809,8.989,6.0,24.456,40.346,34.498,48.876,43.248,96.0,22.5813,86.1445
478,117.196.238.90,India,Union Territory of Puducherry,Puducherry,Asia/Calcutta,68.606,11.972,6.0,29.659,45.786,38.855,56.36,46.537,83.0,11.9956,79.8417
479,117.200.143.152,India,Telangana,Jogipet,Asia/Calcutta,67.875,8.421,6.0,25.086,43.165,39.759,50.035,43.736,123.0,17.65,78.2
480,117.215.237.138,India,Punjab,Ludhiana,Asia/Calcutta,70.219,8.622,6.0,26.005,39.314,32.268,46.947,41.496,98.0,30.9061,75.8591
481,117.199.92.169,India,Rajasthan,Jaipur,Asia/Calcutta,66.857,6.922,6.0,22.24,38.672,31.616,45.178,38.014,115.0,27.1158,75.8755
482,61.0.98.80,India,Punjab,Jalandhar,Asia/Calcutta,67.403,8.386,6.0,21.106,36.425,33.077,46.317,38.187,120.0,31.3559,75.6285
483,117.247.97.30,India,Tamil Nadu,Ernakulam,Asia/Calcutta,69.309,10.081,6.0,25.707,41.894,38.06,49.433,42.417,60.0,9.9725,76.2915
484,117.228.215.226,India,Maharashtra,Mumbai,Asia/Calcutta,68.795,8.55,6.0,26.026,42.904,36.021,53.788,46.445,95.0,19.0524,72.7386
485,117.237.195.210,India,Odisha,- - -,Asia/Calcutta,68.816,10.023,6.0,27.459,42.9,35.212,55.166,45.747,62.0,11.7831,83.2839
486,117.222.171.175,India,Kerala,Kozhikode,Asia/Calcutta,72.663,10.765,6.0,27.326,43.591,39.66,54.032,45.513,110.0,11.1356,75.7299
487,59.98.18.145,India,West Bengal,Kolkata,Asia/Calcutta,69.981,10.92,6.0,27.759,42.443,38.84,48.863,44.007,50.0,22.7713,88.2509
488,117.210.154.220,India,Uttarakhand,Dehradun,Asia/Calcutta,70.444,11.428,6.0,27.42,39.32,35.519,45.986,40.552,79.0,30.3143,78.0384
489,59.98.234.64,India,Rajasthan,Jodhpur,Asia/Calcutta,65.456,7.863,6.0,23.711,38.761,34.609,45.067,41.486,119.0,26.2221,73.0054
490,117.233.125.43,India,Maharashtra,Mumbai,Asia/Calcutta,66.446,8.147,6.0,26.189,35.784,31.746,41.736,38.09,88.0,19.1864,72.8352
491,117.194.9.64,India,Odisha,Bhubaneswar,Asia/Calcutta,67.149,7.493,6.0,25.111,37.193,30.737,47.964,40.055,106.0,20.2906,85.7444
492,117.194.171.242,India,Kerala,Palakkad,Asia/Calcutta,71.251,9.244,6.0,24.894,41.888,35.233,47.185,40.21,93.0,10.8222,76.7282
493,117.211.128.171,India,Maharashtra,Sangli,Asia/Calcutta,66.672,4.636,6.0,20.512,34.054,26.437,47.879,37.519,87.0,16.86,74.5667
494,117.225.100.139,India,Uttar Pradesh,Mathura,Asia/Calcutta,67.68,8.796,6.0,24.52,43.537,37.507,51.067,44.04,88.0,27.1833,77.3833
495,117.247.81.75,India,Gujarat,Ahmedabad,Asia/Calcutta,69.58,8.412,6.0,24.883,37.335,30.776,50.065,41.592,74.0,23.129,72.5246
496,117.230.159.82,India,Kerala,Kochi,Asia/Calcutta,70.87,11.194,6.0,28.55,44.094,36.312,57.672,47.222,92.0,10.036,76.0015
497,117.251.56.47,India,Kerala,Pathanamthitta,Asia/Calcutta,65.548,7.97,7.0,25.1,42.043,34.855,50.033,43.648,100.0,9.2657,76.6541
498,117.209.175.100,India,Arunachal Pradesh,Itanagar,Asia/Calcutta,65.935,8.162,6.0,25.704,40.891,34.442,46.215,39.959,105.0,27.0988,93.6303
499,117.197.10.243,India,Rajasthan,Jaipur,Asia/Calcutta,66.002,4.433,6.0,23.9,38.305,30.36,49.06,39.232,92.0,26.8675,75.7731
500,117.248.149.242,India,Jharkhand,Jamshedpur,Asia/Calcutta,67.695,7.797,6.0,23.625,39.776,31.82,45.616,37.921,102.0,22.8651,86.1717
501,117.192.251.13,India,Karnataka,Bengaluru,Asia/Calcutta,69.199,5.589,6.0,21.751,41.573,38.053,51.219,44.628,52.0,13.1888,77.8887
502,117.208.19.139,India,Kerala,Malappuram,Asia/Calcutta,65.405,7.945,7.0,25.64,40.916,36.501,52.027,44.833,120.0,11.1097,76.0377
503,59.97.194.28,India,Maharashtra,Dehradun,Asia/Calcutta,72.051,9.585,6.0,26.082,43.889,37.377,57.026,47.516,90.0,30.2808,78.0657
504,117.208.137.53,India,Haryana,Ambala,Asia/Calcutta,65.085,5.293,7.0,21.82,38.633,34.525,44.489,38.564,75.0,30.3644,76.787
505,61.2.224.173,India,Goa,Mormugao,Asia/Calcutta,69.496,9.731,7.0,27.013,41.677,36.85,49.885,41.554,53.0,15.4,73.8
506,117.221.96.219,India,Kerala,Thiruvananthapuram,Asia/Calcutta,66.333,9.033,6.0,22.593,34.99,27.615,41.266,34.557,95.0,8.6234,76.9063
507,117.212.237.69,India,Madhya Pradesh,Indore,Asia/Calcutta,72.741,9.565,6.0,25.734,44.717,40.076,57.035,47.221,104.0,22.7378,75.896
508,117.204.65.59,India,Andhra Pradesh,Kurnool,Asia/Calcutta,70.78,11.779,6.0,27.091,42.448,36.771,55.897,45.415,82.0,15.8305,78.0387
509,117.207.177.176,India,Rajasthan,Jaipur,Asia/Calcutta,70.022,11.946,6.0,26.764,44.02,40.023,58.484,48.475,90.0,27.0894,75.8181
510,117.208.139.80,India,Karnataka,Bengaluru,Asia/Calcutta,66.886,7.606,6.0,24.327,40.997,37.408,48.85,44.882,108.0,12.68,77.5727
511,117.208.139.141,India,Andhra Pradesh,Kurnool,Asia/Calcutta,69.311,10.243,7.0,27.008,40.419,37.356,51.455,42.693,118.0,15.849,78.0238
512,117.208.139.126,India,Andhra Pradesh,Kurnool,Asia/Calcutta,66.748,8.859,6.0,24.319,37.28,31.136,48.169,38.396,96.0,15.877,78.1001
